Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
6,1.229,1.191,0.909,0.423,0.202,0.035,2018,,,,24469800000.0,28159.3,84.4336,1.9,,128.708,8.109,False,True,False,False,False,False,False,False,True,False,False,False
7,1.233,1.489,0.854,0.543,0.064,0.034,2018,,,,245000000000.0,23078.6,80.6882,2.7,,137.603,2.397,False,True,False,False,False,False,False,True,False,False,False,False
8,1.351,1.59,0.868,0.683,0.284,0.408,2018,,,,352000000000.0,60726.5,97.6443,3.6,,138.067,4.975,False,True,False,False,False,False,False,True,False,False,False,False
5,0.982,1.441,0.614,0.578,0.12,0.106,2018,,,,81298600000.0,7650.07,74.8243,24.1,,219.979,5.829,False,False,True,False,False,False,False,False,False,False,False,True
6,0.889,1.33,0.736,0.556,0.114,0.12,2018,,,,108000000000.0,6344.87,,12.2,,68.7887,3.91,False,False,True,False,False,False,False,False,False,False,False,True
6,0.806,1.231,0.639,0.461,0.065,0.082,2018,,,,26057000000.0,4058.24,,11.8,,309.881,4.39,False,False,True,False,False,False,False,False,False,False,True,False
6,1.2,1.532,0.737,0.553,0.086,0.174,2018,,,,30284900000.0,22927.7,89.357,2.1,,30.3861,5.508,False,True,False,False,False,False,False,True,False,False,False,False
4,0.308,0.95,0.391,0.452,0.22,0.146,2018,,,,84355500000.0,772.312,,39.1,,109.225,1.809,False,False,False,False,False,False,True,False,False,True,False,False
8,1.305,1.592,0.874,0.681,0.202,0.393,2018,,,,274000000000.0,49648.1,88.89,1.4,,18.1569,7.755,False,True,False,False,False,False,False,True,False,False,False,False
6,1.293,1.466,0.908,0.52,0.098,0.176,2018,,,,2780000000000.0,41463.6,82.0435,3.4,,122.338,9.18,False,True,False,False,False,False,False,True,False,False,False,False
5,1.036,1.164,0.404,0.356,0.032,0.052,2018,,,,17017400000.0,8029.82,,32.7,,8.22476,19.488,False,False,False,False,False,False,True,False,False,False,False,True
4,0.853,0.592,0.643,0.375,0.038,0.215,2018,,,,16209800000.0,4344.63,63.9686,8.7,,65.2752,14.106,False,True,False,False,False,False,False,False,False,False,True,False
7,1.34,1.474,0.861,0.586,0.273,0.28,2018,,,,4000000000000.0,48195.6,89.7391,3.1,,237.371,3.425,False,True,False,False,False,False,False,True,False,False,False,False
5,0.592,0.896,0.337,0.499,0.212,0.029,2018,,,,65556500000.0,2202.31,,34.9,,130.821,6.71,False,False,False,False,False,False,True,False,False,False,True,False
5,1.154,1.202,0.879,0.131,0.0,0.044,2018,,,,218000000000.0,20324.3,72.9521,3.6,,83.2247,19.207,False,True,False,False,False,False,False,True,False,False,False,False
6,0.781,1.268,0.608,0.604,0.179,0.071,2018,,,,78460400000.0,4549.01,,22.1,,160.954,2.727,False,False,True,False,False,False,False,False,False,False,True,False
4,0.344,0.792,0.211,0.394,0.185,0.094,2018,,,,10989800000.0,885.251,,64.9,,50.5222,3.607,False,False,False,False,False,False,True,False,False,True,False,False
4,0.315,0.714,0.289,0.025,0.392,0.104,2018,,,,9658080000.0,868.285,32.4736,49.5,,403.599,13.526,False,False,True,False,False,False,False,False,False,True,False,False
6,0.62,1.205,0.622,0.459,0.197,0.074,2018,,,,23803200000.0,2482.73,,15.1,,85.687,4.076,False,False,True,False,False,False,False,False,False,False,True,False
6,1.171,1.401,0.732,0.259,0.061,0.022,2018,,,,156000000000.0,15938.8,76.0744,3.6,,107.907,3.663,False,True,False,False,False,False,False,True,False,False,False,False
7,1.343,1.644,0.914,0.677,0.353,0.138,2018,,,,25882200000.0,73201.7,99.011,1.5,,3.52692,2.918,False,True,False,False,False,False,False,True,False,False,False,False
4,0.721,0.747,0.485,0.539,0.172,0.093,2018,,,,2730000000000.0,2015.59,,29.9,,454.938,2.551,False,False,False,False,False,True,False,False,False,False,True,False
5,0.899,1.215,0.522,0.538,0.484,0.018,2018,,,,1040000000000.0,3893.6,39.7875,21.1,,147.752,4.3,True,False,False,False,False,False,False,False,False,False,True,False
4,1.01,0.971,0.536,0.304,0.148,0.095,2018,,,,226000000000.0,5878.04,,22.5,,88.5306,7.928,False,False,False,True,False,False,False,False,False,False,False,True
7,1.448,1.583,0.876,0.614,0.307,0.306,2018,,,,382000000000.0,78806.4,84.5223,3.1,,70.453,5.691,False,True,False,False,False,False,False,True,False,False,False,False
7,1.301,1.559,0.883,0.533,0.354,0.272,2018,,,,370000000000.0,41614.0,,3.0,,410.527,3.95,False,False,False,True,False,False,False,True,False,False,False,False
6,1.264,1.501,0.946,0.281,0.137,0.028,2018,,,,2070000000000.0,34318.4,74.3872,2.6,,205.451,10.205,False,True,False,False,False,False,False,True,False,False,False,False
6,0.819,1.493,0.693,0.575,0.096,0.031,2018,,,,15717900000.0,5355.58,,12.4,,270.993,9.445,False,False,True,False,False,False,False,False,False,False,False,True
6,1.294,1.462,0.988,0.553,0.079,0.15,2018,,,,4970000000000.0,39286.7,,1.8,,347.073,2.445,True,False,False,False,False,False,False,True,False,False,False,False
5,0.822,1.265,0.645,0.468,0.13,0.134,2018,,,,42290800000.0,4247.77,,13.9,,112.142,15.025,False,False,False,True,False,False,False,False,False,False,False,True
6,1.143,1.516,0.631,0.454,0.148,0.121,2018,,,,171000000000.0,9331.05,78.9039,8.8,,6.76983,4.885,False,True,False,False,False,False,False,False,False,False,False,True
4,0.493,1.048,0.454,0.504,0.352,0.055,2018,,,,87908300000.0,1710.51,,30.6,,90.2994,9.313,False,False,False,False,False,False,True,False,False,False,True,False
6,1.474,1.301,0.675,0.554,0.167,0.106,2018,,,,142000000000.0,34244.0,99.6,6.7,,232.172,2.076,False,False,False,True,False,False,False,False,True,False,False,False
6,1.148,1.454,0.671,0.363,0.092,0.066,2018,,,,34849100000.0,18088.9,83.5772,3.3,,30.9833,7.857,False,True,False,False,False,False,False,False,True,False,False,False
5,0.965,1.179,0.785,0.503,0.214,0.136,2018,,,,56639200000.0,8269.79,,6.4,,669.494,6.167,False,False,False,True,False,False,False,False,False,False,False,True
4,0.472,1.215,0.079,0.423,0.116,0.112,2018,,,,2791760000.0,1324.28,,65.7,,69.4378,23.596,False,False,False,False,False,False,True,False,False,False,True,False
3,0.076,0.858,0.267,0.419,0.206,0.03,2018,,,,3249000000.0,674.209,,53.5,,50.0309,2.033,False,False,False,False,False,False,True,False,False,True,False,False
6,0.985,1.35,0.553,0.496,0.116,0.148,2018,,,,48319600000.0,7235.03,,10.2,,3.79563,17.287,False,False,False,True,False,False,False,False,False,False,False,True
6,1.197,1.527,0.716,0.35,0.026,0.006,2018,,,,53251400000.0,19089.7,79.7226,3.3,,44.5314,6.007,False,True,False,False,False,False,False,False,True,False,False,False
7,1.576,1.52,0.896,0.632,0.196,0.321,2018,,,,69487900000.0,114340.0,97.0613,1.9,,250.094,5.47,False,True,False,False,False,False,False,True,False,False,False,False
4,0.262,0.908,0.402,0.221,0.155,0.049,2018,,,,12100500000.0,460.753,,38.2,,45.1399,1.659,False,False,False,False,False,False,True,False,False,True,False,False
4,0.186,0.541,0.306,0.531,0.21,0.08,2018,,,,7064970000.0,389.398,,35.3,,192.441,5.43,False,False,False,False,False,False,True,False,False,True,False,False
6,1.161,1.258,0.669,0.356,0.311,0.059,2018,,,,354000000000.0,11239.0,81.2017,6.7,,95.9628,3.36,True,False,False,False,False,False,False,False,False,False,False,True
4,0.37,1.233,0.152,0.367,0.139,0.056,2018,,,,17196700000.0,901.403,,62.0,,15.635,9.569,False,False,False,False,False,False,True,False,False,True,False,False
7,1.27,1.525,0.884,0.645,0.376,0.142,2018,,,,14542000000.0,30074.7,81.4031,6.1,,1511.03,4.583,False,False,False,True,False,False,False,False,True,False,False,False
4,0.557,1.245,0.292,0.129,0.134,0.093,2018,,,,5365870000.0,1218.6,,51.5,,4.27216,10.305,False,False,False,False,False,False,True,False,False,False,True,False
6,1.09,1.387,0.684,0.584,0.245,0.05,2018,,,,14220300000.0,11238.7,58.5962,13.6,,623.302,6.867,False,False,False,False,False,False,True,False,False,False,False,True
6,1.038,1.252,0.761,0.479,0.069,0.095,2018,,,,1220000000000.0,9698.08,65.7726,11.0,,64.9146,3.322,False,False,True,False,False,False,False,False,False,False,False,True
6,0.657,1.301,0.62,0.232,0.171,0.0,2018,,,,11309100000.0,3189.36,,13.6,,123.52,3.411,False,True,False,False,False,False,False,False,False,False,True,False
5,0.914,1.517,0.575,0.395,0.253,0.032,2018,,,,13009600000.0,4103.7,,14.0,,2.04061,6.32,True,False,False,False,False,False,False,False,False,False,False,True
5,1.017,1.279,0.729,0.259,0.111,0.081,2018,,,,5452170000.0,8760.69,71.5173,2.3,,46.271,15.462,False,True,False,False,False,False,False,False,False,False,False,True
5,0.779,0.797,0.669,0.46,0.026,0.074,2018,,,,118000000000.0,3237.88,64.8039,19.2,,80.7285,9.04,False,False,False,True,False,False,False,False,False,False,True,False
4,0.198,0.902,0.173,0.531,0.206,0.158,2018,,,,14458000000.0,490.168,,54.0,,37.5085,3.172,False,False,False,False,False,False,True,False,False,True,False,False
4,0.682,1.174,0.429,0.58,0.598,0.178,2018,,,,71214800000.0,1325.95,,36.8,,82.2386,1.564,True,False,False,False,False,False,False,False,False,False,True,False
4,0.874,1.281,0.365,0.519,0.051,0.064,2018,,,,14521700000.0,5931.45,,29.0,,2.97375,23.095,False,False,False,False,False,False,True,False,False,False,False,True
5,0.425,1.228,0.539,0.526,0.302,0.078,2018,,,,28812500000.0,1025.8,,26.7,,195.939,1.264,False,False,False,False,False,True,False,False,False,True,False,False
7,1.361,1.488,0.878,0.638,0.333,0.295,2018,,,,914000000000.0,53024.1,94.7121,3.3,,511.458,3.88,False,True,False,False,False,False,False,True,False,False,False,False
7,1.268,1.601,0.876,0.669,0.365,0.389,2018,,,,205000000000.0,41966.0,,4.7,,18.5542,4.522,True,False,False,False,False,False,False,True,False,False,False,False
6,0.668,1.319,0.7,0.527,0.208,0.128,2018,,,,13117900000.0,2028.9,,15.7,,53.727,4.479,False,False,True,False,False,False,False,False,False,False,True,False
4,0.131,0.867,0.221,0.39,0.175,0.099,2018,,,,9239510000.0,411.689,5.25049,48.0,,17.7177,0.273,False,False,False,False,False,False,True,False,False,True,False,False
5,0.689,1.172,0.048,0.462,0.201,0.032,2018,,,,397000000000.0,2028.18,,75.7,,215.065,6.026,False,False,False,False,False,False,True,False,False,False,True,False
8,1.456,1.582,0.861,0.686,0.286,0.34,2018,,,,435000000000.0,81807.2,96.4917,2.1,,14.5549,3.919,False,True,False,False,False,False,False,True,False,False,False,False
5,0.652,0.81,0.424,0.334,0.216,0.113,2018,,,,313000000000.0,1472.89,,57.2,,275.289,3.038,False,False,False,False,False,True,False,False,False,False,True,False
6,1.112,1.438,0.759,0.597,0.125,0.063,2018,,,,65055100000.0,15575.1,,13.1,,56.1861,3.922,False,False,True,False,False,False,False,False,False,False,False,True
6,0.835,1.522,0.615,0.541,0.162,0.074,2018,,,,40842300000.0,5871.47,64.9935,17.2,,17.5084,4.712,False,False,True,False,False,False,False,False,False,False,False,True
6,0.934,1.249,0.674,0.53,0.092,0.034,2018,,,,222000000000.0,6947.26,52.5403,11.1,,24.9916,2.844,False,False,True,False,False,False,False,False,False,False,False,True
6,0.775,1.312,0.513,0.643,0.12,0.105,2018,,,,331000000000.0,3102.71,,22.5,,357.688,2.515,True,False,False,False,False,False,False,False,False,False,True,False
