Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
2018,,,,10989800000.0,885.251,,64.9,,50.5222,3.607,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,9658080000.0,868.285,32.4736,49.5,,403.599,13.526,False,False,True,False,False,False,False,False,False,True,False,False
2018,,,,23803200000.0,2482.73,,15.1,,85.687,4.076,False,False,True,False,False,False,False,False,False,False,True,False
2018,,,,156000000000.0,15938.8,76.0744,3.6,,107.907,3.663,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,25882200000.0,73201.7,99.011,1.5,,3.52692,2.918,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,2730000000000.0,2015.59,,29.9,,454.938,2.551,False,False,False,False,False,True,False,False,False,False,True,False
2018,,,,1040000000000.0,3893.6,39.7875,21.1,,147.752,4.3,True,False,False,False,False,False,False,False,False,False,True,False
2018,,,,226000000000.0,5878.04,,22.5,,88.5306,7.928,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,382000000000.0,78806.4,84.5223,3.1,,70.453,5.691,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,370000000000.0,41614.0,,3.0,,410.527,3.95,False,False,False,True,False,False,False,True,False,False,False,False
2018,,,,2070000000000.0,34318.4,74.3872,2.6,,205.451,10.205,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,15717900000.0,5355.58,,12.4,,270.993,9.445,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,4970000000000.0,39286.7,,1.8,,347.073,2.445,True,False,False,False,False,False,False,True,False,False,False,False
2018,,,,42290800000.0,4247.77,,13.9,,112.142,15.025,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,171000000000.0,9331.05,78.9039,8.8,,6.76983,4.885,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,87908300000.0,1710.51,,30.6,,90.2994,9.313,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,142000000000.0,34244.0,99.6,6.7,,232.172,2.076,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,34849100000.0,18088.9,83.5772,3.3,,30.9833,7.857,False,True,False,False,False,False,False,False,True,False,False,False
2018,,,,56639200000.0,8269.79,,6.4,,669.494,6.167,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,2791760000.0,1324.28,,65.7,,69.4378,23.596,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,3249000000.0,674.209,,53.5,,50.0309,2.033,False,False,False,False,False,False,True,False,False,True,False,False
