Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
6,1.016,1.417,0.707,0.637,0.364,0.029
4,0.259,0.474,0.253,0.434,0.158,0.101
5,0.9,0.906,0.69,0.271,0.04,0.063
5,1.148,1.38,0.686,0.324,0.106,0.109
6,1.016,1.533,0.517,0.417,0.199,0.037
4,0.322,1.09,0.237,0.45,0.259,0.061
4,0.793,1.413,0.609,0.163,0.187,0.011
7,2.096,0.776,0.67,0.284,0.186,
7,1.244,1.433,0.888,0.464,0.262,0.082
7,1.398,1.471,0.819,0.547,0.291,0.133
6,1.093,1.459,0.771,0.625,0.13,0.155
6,0.719,1.584,0.605,0.724,0.328,0.259
5,0.715,1.365,0.702,0.618,0.177,0.079
4,0.562,1.047,0.295,0.503,0.221,0.082
4,0.357,1.094,0.248,0.406,0.132,0.099
